,valorTotalHomologado,anoCompra,sequencialCompra,unidadeOrgao.codigoUnidade,unidadeOrgao.codigoIbge
0,2.20411772909827,1.2320051111038302,-0.5029181763476253,-1.0286640126486912,-0.6857319001586392
62,-0.05929748202188594,-0.8116849443132893,1.0810090396196603,0.6663612874264883,-0.7632435909897407
374,-0.037189206745361345,1.2320051111038302,-0.5029181763476253,-0.45789018711317153,1.217955226653218
393,1.626901951121448,-0.8116849443132893,-0.4580008373873589,-0.7807521490322534,-0.7260379793908119
469,-0.05393757096233214,-0.8116849443132893,3.0739204471725285,-1.0834352383313923,-0.6919328354251273
537,-0.016346728064660834,-0.8116849443132893,0.7216703279375299,-1.0805525422428297,-0.9182669726519439
538,-0.014960297737256234,-0.8116849443132893,0.724034398409123,-1.0805525422428297,-0.9182669726519439
609,0.7870705892047624,-0.8116849443132893,20.22761578905107,-1.0863179344199558,-0.9461711813511406
610,-0.05393757096233214,-0.8116849443132893,0.5987386634146958,-1.0863179344199558,-0.9058651021189679
650,12.163943956550346,-0.8116849443132893,-0.4438164145578011,0.6663612874264883,-0.8376548141875984
661,2.1794415323440264,-0.8116849443132893,-0.4036272165407207,0.6663612874264883,-0.8376548141875984
705,36.91967261951424,1.2320051111038302,-0.5005541058760322,-1.0805525422428297,-0.9399702460846525
813,0.03896755406993517,-0.8116849443132893,1.0833731100912534,0.6663612874264883,-0.7632435909897407
814,0.02962225136476627,-0.8116849443132893,1.0857371805628464,0.6663612874264883,-0.7632435909897407
969,-0.05393757096233214,-0.8116849443132893,3.078648588115714,-1.0863179344199558,-0.9368697784514085
1000,-0.009570847612307535,-0.8116849443132893,0.8469660629319571,-1.0863179344199558,-0.9306688431849203
1122,0.8569230464536385,-0.8116849443132893,20.232343929994254,-1.0863179344199558,-0.9461711813511406
1131,0.08434813437415799,-0.8116849443132893,20.23470800046585,-1.0863179344199558,-0.6919328354251273
1186,25.57970371676695,-0.8116849443132893,0.08809944155061557,-1.0805525422428297,-0.9399702460846525
